"School Name","Education Agency","School Location","City","State","Zip","Type of School","School status at time of last report","School Level","County","Grades Offered","Total Students","Full-time-equivalent Classroom Teachers","Student/Teacher Ratio","National School Lunch Program Status","Free and Reduced-price Lunch Eligible Students","Title I Eligible","School-wide Title I","Title I Status","GreatSchools Link","NCES Public School ID","Urban-centric Locale","Magnet School","Charter School","Shared-time School","Virtual School","Reconstituted","Total Students","Prekindergarten Students","Kindergarten Students","Grade 1 Students","Grade 2 Students","Grade 3 Students","Grade 4 Students","Grade 5 Students","Grade 6 Students","Grade 7 Students","Grade 8 Students","Grade 9 Students","Grade 10 Students","Grade 11 Students","Grade 12 Students","High School Students Earning College Credit or CTE Students Beyo","Adult Education Students","Ungraded Students","White, Non-Hispanic Students","Hispanic Students","Black, Non-Hispanic Students","Asian, Non-Hispanic Students","American Indian/Alaska Native Students","Hawaiian Native/Pacific Islander Students","Two or More Races Students","Percent White, Non-Hispanic","Percent Hispanic","Percent Black, Non-Hispanic","Percent Asian, Non-Hispanic","Percent American Indian/Alaska Native","Percent Hawaiian Native/Pacific Islander","Percent Two or More Races","All Female High School","Majority Minority High School","Inner City High School"
"Emerson Elementary","Oakland Unified","4803 Lawton Ave.","Oakland","CA","94609","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","314","12.50","25.12","Yes under Community Eligibility Option (CEO)","232","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/202","062805004260","City, Large","","","","","","314","","156","118","98","82","90","84","","","","","","","","","0","","80","102","300","82","2","","62","12.74","16.24","47.77","13.06","0.32","","9.87","","",""
"Wells Middle","Dublin Unified","6800 Penn Dr.","Dublin","CA","94568","Regular School","Open","Middle","Alameda County","6, 7, 8","1029","45.99","22.37","No","175","Title I Eligible School","Not School-wide Title I","Title I targeted assistance school","http://www.greatschools.net/modperl/browse_school/CA/61","060001909278","Suburban, Large","","","","","","1029","","","","","","","","728","678","652","","","","","","0","","706","378","116","640","2","6","210","34.31","18.37","5.64","31.10","0.10","0.29","10.20","","",""
"Arroyo Seco Elementary","Livermore Valley Joint Unified","5280 Irene Way","Livermore","CA","94550","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","664","27.00","24.59","No","152","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/143","062211002620","Suburban, Small","","","","","","664","","248","206","250","186","234","204","","","","","","","","","0","","606","392","28","140","","","162","45.63","29.52","2.11","10.54","","","12.20","","",""
"Lawrence Elementary","Livermore Valley Joint Unified","2451 Portola Ave.","Livermore","CA","94551","Regular School","New","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","321","14.00","22.93","No","37","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/2567","062211014134","Suburban, Small","","","","","","321","","138","98","100","134","94","78","","","","","","","","","0","","314","148","14","98","","2","66","48.91","23.05","2.18","15.26","","0.31","10.28","","",""
"Carl B. Munck Elementary","Oakland Unified","11900 Campus Dr.","Oakland","CA","94619","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","236","12.00","19.67","Yes under Community Eligibility Option (CEO)","175","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/245","062805004246","City, Large","","","","","","236","","140","80","72","52","66","62","","","","","","","","","0","","24","92","292","20","8","6","30","5.08","19.49","61.86","4.24","1.69","1.27","6.36","","",""
"Cragmont Elementary","Berkeley Unified","830 Regal Rd.","Berkeley","CA","94708","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","399","20.36","19.60","No","140","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/27","060474006895","City, Midsize","","","","","","399","","114","90","120","158","162","154","","","","","","","","","0","","304","148","134","70","4","2","136","38.10","18.55","16.79","8.77","0.50","0.25","17.04","","",""
"Oakland SOL (School of Language) Dual Language Middle","Oakland Unified","1180 70th Ave.","Oakland","CA","94621","Regular School","New","Middle","Alameda County","6, 7, 8","55","","","No","47","Title I Eligible School","Not School-wide Title I","Title I targeted assistance school","http://www.greatschools.net/modperl/browse_school/CA/2568","062805014086","City, Large","Magnet school","","","","","55","","","","","","","","110","0","0","","","","","","0","","6","68","32","2","0","0","2","5.45","61.82","29.09","1.82","0.00","0.00","1.82","","",""
"Burbank Preschool Center","Oakland Unified","3550 64th Ave.","Oakland","CA","94605","Regular School","Open","Other","Alameda County","","","","","No","","Unknown","","","","062805013483","City, Large","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Community School for Creative Education","Alameda County Office of Education","2111 International Blvd.","Oakland","CA","94606","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6, 7, 8","252","5.13","49.12","No","180","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/5807","069105112844","City, Large","","Charter school","","","","252","","118","60","60","60","46","62","46","32","20","","","","","","0","","20","292","96","50","12","2","32","3.97","57.94","19.05","9.92","2.38","0.40","6.35","","",""
"Foothill High","Pleasanton Unified","4375 Foothill Rd.","Pleasanton","CA","94588","Regular School","Open","High","Alameda County","9, 10, 11, 12","2176","91.55","23.77","No","193","Title I Eligible School","Not School-wide Title I","Title I targeted assistance eligible school-No program","http://www.greatschools.net/modperl/browse_school/CA/282","060002009279","City, Small","","","","Virtual school","","2176","","","","","","","","","","","1144","1164","1010","1034","","0","","1870","452","92","1746","4","18","170","42.97","10.39","2.11","40.12","0.09","0.41","3.91","Not all female high school","Majority minority high school","Not inner city high school"
"Mission San Jose Elementary","Fremont Unified","43545 Bryant St.","Fremont","CA","94539","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6","550","23.00","23.91","No","22","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/93","061440001677","Suburban, Large","","","","","","550","","136","152","174","160","122","176","180","","","","","","","","0","","34","38","12","994","","4","18","3.09","3.45","1.09","90.36","","0.36","1.64","","",""
"Fremont High","Oakland Unified","4610 Foothill Blvd.","Oakland","CA","94601","Regular School","Open","High","Alameda County","9, 10, 11, 12","827","45.31","18.25","Yes under Community Eligibility Option (CEO)","781","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/6957","062805013062","City, Large","","","","","","827","","","","","","","","","","","498","476","388","292","","0","","34","1116","340","78","","52","34","2.06","67.47","20.56","4.72","","3.14","2.06","Not all female high school","Majority minority high school","Inner city high school"
"Bridges Academy","Oakland Unified","1325 53rd Ave.","Oakland","CA","94601","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","442","16.00","27.63","Yes under Community Eligibility Option (CEO)","426","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/241","062805004301","City, Large","","","","","","442","","174","138","166","138","140","128","","","","","","","","","0","","14","782","46","18","2","2","20","1.58","88.46","5.20","2.04","0.23","0.23","2.26","","",""
"Ruus Elementary","Hayward Unified","28027 Dickens Ave.","Hayward","CA","94540","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6","536","21.00","25.52","No","377","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/132","061674002129","City, Midsize","","","","","","536","","204","146","142","134","144","142","160","","","","","","","","0","","46","648","54","238","","46","40","4.29","60.45","5.04","22.20","","4.29","3.73","","",""
"Reach Academy","Oakland Unified","9860 Sunnyside St.","Oakland","CA","94603","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","397","15.00","26.47","Yes under Community Eligibility Option (CEO)","328","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/5025","062805011556","City, Large","","","","","","397","","200","114","126","126","104","124","","","","","","","","","0","","12","338","340","32","2","28","42","1.51","42.57","42.82","4.03","0.25","3.53","5.29","","",""
"Joe Michell","Livermore Valley Joint Unified","1001 Elaine Ave.","Livermore","CA","94550","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6, 7, 8","799","35.17","22.72","No","185","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/154","062211002628","Suburban, Small","","","","","","799","","204","164","160","144","186","194","194","178","174","","","","","","0","","782","496","20","128","2","8","162","48.94","31.04","1.25","8.01","0.13","0.50","10.14","","",""
"Bridgepoint High (Continuation)","Newark Unified","35753 Cedar Blvd.","Newark","CA","94560","Alternative School","Open","High","Alameda County","9, 10, 11, 12","62","","","No","40","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/173","062706004080","Suburban, Large","","","","Virtual school","","62","","","","","","","","","","","0","0","26","80","","0","18","12","92","8","12","0","0","0","9.68","74.19","6.45","9.68","0.00","0.00","0.00","Not all female high school","Majority minority high school","Not inner city high school"
"Birch Grove Intermediate","Newark Unified","37490 Birch St.","Newark","CA","94560","Regular School","Open","Primary","Alameda County","3, 4, 5, 6","458","13.40","34.18","No","205","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/178","062706004086","Suburban, Large","","","","","","458","","","","","218","236","238","224","","","","","","","","0","","104","360","56","324","2","12","58","11.35","39.30","6.11","35.37","0.22","1.31","6.33","","",""
"California School for the Blind","California School for the Blind (State Special Schl)","500 Walnut Ave.","Fremont","CA","94536","Special Education School","Open","Other","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, Adult Education","40","13.00","3.08","No","37","Unknown","","","http://www.greatschools.net/modperl/browse_school/CA/2629","060000210346","Suburban, Large","Magnet school","","","","","40","","0","0","2","0","0","2","6","6","8","20","6","14","16","","0","","26","40","0","10","0","2","2","32.50","50.00","0.00","12.50","0.00","2.50","2.50","","",""
"Edison Elementary","Alameda Unified","2700 Buena Vista Ave.","Alameda","CA","94501","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","470","19.00","24.74","No","67","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/5","060177000044","Suburban, Large","","","","","","470","","152","152","158","156","166","156","","","","","","","","","0","","454","130","8","176","","6","166","48.30","13.83","0.85","18.72","","0.64","17.66","","",""
"Palomares Elementary","Castro Valley Unified","6395 Palo Verde Rd.","Castro Valley","CA","94552","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","145","6.40","22.66","No","23","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/49","060780000747","Suburban, Large","","","","","","145","","48","46","42","46","50","58","","","","","","","","","0","","114","78","16","40","2","","40","39.31","26.90","5.52","13.79","0.69","","13.79","","",""
"McKinley Elementary","San Leandro Unified","2150 E. 14th St.","San Leandro","CA","94577","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","484","19.00","25.47","No","352","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/296","063468005837","City, Small","","","","","","484","","182","162","156","158","182","128","","","","","","","","","0","","54","554","134","152","","20","54","5.58","57.23","13.84","15.70","","2.07","5.58","","",""
"Epic Charter","Oakland Unified","1112 29th Ave.","Oakland","CA","94601","Regular School","Open","Middle","Alameda County","6, 7, 8","342","15.16","22.56","No","321","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/2006","062805013772","City, Large","","Charter school","","","","342","","","","","","","","238","216","230","","","","","","0","","4","544","96","28","4","","8","0.58","79.53","14.04","4.09","0.58","","1.17","","",""
"ACORN Woodland Elementary","Oakland Unified","1025 81st Ave.","Oakland","CA","94621","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","300","13.00","23.08","Yes under Community Eligibility Option (CEO)","276","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/1684","062805010730","City, Large","","","","","","300","","110","96","100","96","100","98","","","","","","","","","0","","14","528","44","8","","","6","2.33","88.00","7.33","1.33","","","1.00","","",""
"Brookvale Elementary","Fremont Unified","3400 Nicolet Ave.","Fremont","CA","94536","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6","717","31.00","23.13","No","106","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/71","061440001658","Suburban, Large","","","","","","717","","348","272","158","208","164","148","136","","","","","","","","0","","184","184","30","966","","4","66","12.83","12.83","2.09","67.36","","0.28","4.60","","",""
"Piedmont High","Piedmont City Unified","800 Magnolia Ave.","Piedmont","CA","94611","Regular School","Open","High","Alameda County","9, 10, 11, 12","813","47.21","17.22","No","11","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/275","063033004731","Suburban, Large","","","","","","813","","","","","","","","","","","452","382","416","376","","0","","1024","88","20","234","","2","258","62.98","5.41","1.23","14.39","","0.12","15.87","Not all female high school","Majority white high school","Not inner city high school"
"Tyrrell Elementary","Hayward Unified","27000 Tyrrell Ave.","Hayward","CA","94540","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6","716","28.00","25.57","Yes under Provision 2","568","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/139","061674008146","City, Midsize","","","","","","716","","208","192","186","232","190","228","196","","","","","","","","0","","10","1176","72","118","4","40","12","0.70","82.12","5.03","8.24","0.28","2.79","0.84","","",""
"Oakland School for the Arts","Oakland Unified","530 18th St.","Oakland","CA","94612","Regular School","Open","High","Alameda County","6, 7, 8, 9, 10, 11, 12","755","43.80","17.24","No","90","Title I Eligible School","Not School-wide Title I","Title I targeted assistance school","http://www.greatschools.net/modperl/browse_school/CA/2307","062805010461","City, Large","","Charter school","","","","755","","","","","","","","182","228","210","224","238","222","206","","0","","564","206","268","90","10","4","368","37.35","13.64","17.75","5.96","0.66","0.26","24.37","Not all female high school","Majority minority high school","Inner city high school"
"American Indian Public Charter","Oakland Unified","171 12th St.","Oakland","CA","94607","Regular School","Open","Middle","Alameda County","6, 7, 8","146","5.50","26.55","No","112","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/185","062805005673","City, Large","","Charter school","","","","146","","","","","","","","92","96","104","","","","","","0","","16","36","74","164","","","2","5.48","12.33","25.34","56.16","","","0.68","","",""
"The Academy of Alameda","Alameda Unified","401 Pacific Ave.","Alameda","CA","94501","Regular School","Open","Middle","Alameda County","6, 7, 8","489","24.00","20.38","No","184","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/5256","060177000042","Suburban, Large","","Charter school","","","","489","","","","","","","","310","348","320","","","","","","0","","262","180","108","252","","2","174","26.79","18.40","11.04","25.77","","0.20","17.79","","",""
"Knowledge Enlightens You (KEY) Academy","Hayward Unified","1570 Ward St","Hayward","CA","94541","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6, 7, 8","557","24.50","22.73","No","341","Title I Eligible School","Not School-wide Title I","Title I targeted assistance school","http://www.greatschools.net/modperl/browse_school/CA/1121","061674013351","City, Midsize","","Charter school","","","","557","","178","102","170","102","106","102","138","126","90","","","","","","0","","262","620","94","86","2","34","16","23.52","55.66","8.44","7.72","0.18","3.05","1.44","","",""
"Cox Academy","Alameda County Office of Education","9860 Sunnyside St.","Oakland","CA","94603","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","587","29.16","20.13","No","546","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/5220","069105104257","City, Large","","Charter school","","","","587","","228","206","180","184","194","182","","","","","","","","","0","","4","906","172","28","6","36","22","0.34","77.17","14.65","2.39","0.51","3.07","1.87","","",""
"American Indian Public High","Oakland Unified","746 Grand Ave.","Oakland","CA","94607","Regular School","Open","High","Alameda County","9, 10, 11, 12","360","13.30","27.07","No","244","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/6974","062805011563","City, Large","","Charter school","","","","360","","","","","","","","","","","292","158","132","138","","0","","30","118","148","418","","2","4","4.17","16.39","20.56","58.06","","0.28","0.56","Not all female high school","Majority minority high school","Not inner city high school"
"Will C. Wood Middle","Alameda Unified","420 Grand St.","Alameda","CA","94501","Regular School","Open","Middle","Alameda County","6, 7, 8","519","25.48","20.37","No","257","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/17","060177000057","Suburban, Large","","","","","","519","","","","","","","","344","362","332","","","","","","0","","216","202","108","406","2","18","86","20.81","19.46","10.40","39.11","0.19","1.73","8.29","","",""
"Chabot Elementary","Oakland Unified","6686 Chabot Rd.","Oakland","CA","94618","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","567","21.50","26.37","No","91","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/194","062805004239","City, Large","","","","","","567","","188","198","180","202","184","182","","","","","","","","","0","","640","112","100","94","2","4","182","56.44","9.88","8.82","8.29","0.18","0.35","16.05","","",""
"John M. Horner Junior High","Fremont Unified","41365 Chapel Way","Fremont","CA","94538","Regular School","Open","Middle","Alameda County","7, 8","1212","50.00","24.24","No","179","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/84","061440001670","Suburban, Large","","","","","","1212","","","","","","","","","1218","1206","","","","","","0","","214","224","42","1874","8","8","54","8.83","9.24","1.73","77.31","0.33","0.33","2.23","","",""
"Emma C. Smith Elementary","Livermore Valley Joint Unified","391 Ontario Dr.","Livermore","CA","94550","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","738","28.90","25.54","No","60","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/158","062211002624","Suburban, Small","","","","","","738","","256","210","210","216","280","304","","","","","","","","","0","","746","290","4","256","","4","176","50.54","19.65","0.27","17.34","","0.27","11.92","","",""
"Altamont Creek Elementary","Livermore Valley Joint Unified","6500 Garaventa Ranch Rd.","Livermore","CA","94551","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","595","24.60","24.19","No","116","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/1682","062211008438","Suburban, Small","","","","","","595","","256","196","226","162","164","186","","","","","","","","","0","","568","258","28","212","8","2","114","47.73","21.68","2.35","17.82","0.67","0.17","9.58","","",""
"Berkeley Technology Academy","Berkeley Unified","2701 MLK Jr. Way","Berkeley","CA","94704","Alternative School","Open","High","Alameda County","10, 11, 12","51","7.54","6.76","No","37","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/2572","060474011300","City, Midsize","","","","","","51","","","","","","","","","","","","0","28","74","","0","","2","12","78","4","0","0","6","1.96","11.76","76.47","3.92","0.00","0.00","5.88","Not all female high school","Majority minority high school","Not inner city high school"
"Oliveira Elementary","Fremont Unified","4180 Alder Ave.","Fremont","CA","94536","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6","858","34.51","24.86","No","165","Title I Eligible School","Not School-wide Title I","Title I targeted assistance eligible school-No program","http://www.greatschools.net/modperl/browse_school/CA/97","061440001683","Suburban, Large","","","","","","858","","324","284","232","278","186","240","172","","","","","","","","0","","156","258","42","1182","2","6","70","9.09","15.03","2.45","68.88","0.12","0.35","4.08","","",""
"Envision Academy for Arts & Technology","Alameda County Office of Education","1515 Webster St.","Oakland","CA","94612","Regular School","Open","High","Alameda County","9, 10, 11, 12","413","20.20","20.45","No","308","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/6870","069105110947","City, Large","","Charter school","","","","413","","","","","","","","","","","218","218","204","186","","0","","22","460","276","20","12","12","24","2.66","55.69","33.41","2.42","1.45","1.45","2.91","Not all female high school","Majority minority high school","Inner city high school"
"Alameda County Community","Alameda County Office of Education","313 W. Winton Ave.","Hayward","CA","94544","Alternative School","Open","Other","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","174","13.00","13.38","No","149","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/3988","069105106830","City, Midsize","","","","Virtual school","","174","","0","0","0","0","0","0","0","0","6","16","40","88","198","","0","","20","170","122","20","2","2","12","5.75","48.85","35.06","5.75","0.57","0.57","3.45","","",""
"Castlemont High","Oakland Unified","8601 MacArthur Blvd.","Oakland","CA","94605","Regular School","Open","High","Alameda County","9, 10, 11, 12","858","52.29","16.41","Yes under Community Eligibility Option (CEO)","789","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/5806","062805012992","City, Large","","","","","","858","","","","","","","","","","","418","600","428","270","","0","","12","1106","490","36","4","40","28","0.70","64.45","28.55","2.10","0.23","2.33","1.63","Not all female high school","Majority minority high school","Inner city high school"
"Tennyson High","Hayward Unified","27035 Whitman Rd.","Hayward","CA","94544","Regular School","Open","High","Alameda County","9, 10, 11, 12","1446","66.15","21.86","No","1088","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/137","061674002135","City, Midsize","","","","","","1446","","","","","","","","","","","722","736","728","706","","0","","90","2022","200","444","6","116","14","3.11","69.92","6.92","15.35","0.21","4.01","0.48","Not all female high school","Majority minority high school","Not inner city high school"
"Dewey Academy","Oakland Unified","1111 2nd Ave.","Oakland","CA","94606","Alternative School","Open","High","Alameda County","9, 10, 11, 12","240","11.60","20.69","Yes under Community Eligibility Option (CEO)","214","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/200","062805004255","City, Large","","","","","","240","","","","","","","","","","","0","10","66","404","","0","","6","216","176","54","6","12","10","1.25","45.00","36.67","11.25","1.25","2.50","2.08","Not all female high school","Majority minority high school","Inner city high school"
"Longfellow Arts and Technology Middle","Berkeley Unified","1500 Derby St.","Berkeley","CA","94703","Regular School","Open","Middle","Alameda County","6, 7, 8","498","28.36","17.56","No","281","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/33","060474000446","City, Midsize","Magnet school","","","","","498","","","","","","","","330","336","330","","","","","","0","","198","348","266","70","4","","110","19.88","34.94","26.71","7.03","0.40","","11.04","","",""
"LIFE Academy","Oakland Unified","2101 35th Ave.","Oakland","CA","94601","Regular School","Open","High","Alameda County","6, 7, 8, 9, 10, 11, 12","464","26.00","17.85","No","427","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/1905","062805008676","City, Large","","","","","","464","","","","","","","","144","120","132","142","122","130","138","","0","","8","786","56","56","2","4","16","0.86","84.70","6.03","6.03","0.22","0.43","1.72","Not all female high school","Majority minority high school","Inner city high school"
"Montclair Elementary","Oakland Unified","1757 Mountain Blvd.","Oakland","CA","94611","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","634","25.50","24.86","Yes under Community Eligibility Option (CEO)","137","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/243","062805004302","City, Large","","","","","","634","","250","204","210","196","208","200","","","","","","","","","0","","540","174","184","154","","","216","42.59","13.72","14.51","12.15","","","17.03","","",""
"Beach Elementary","Piedmont City Unified","100 Lake Ave.","Piedmont","CA","94611","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","298","14.00","21.29","No","7","Title I Eligible School","Not School-wide Title I","Title I targeted assistance eligible school-No program","http://www.greatschools.net/modperl/browse_school/CA/272","063033004729","Suburban, Large","","","","","","298","","78","92","90","88","102","146","","","","","","","","","0","","302","68","14","74","","","138","50.67","11.41","2.35","12.42","","","23.15","","",""
"Livermore Valley Charter","Livermore Valley Joint Unified","3142 Constitution Dr.","Livermore","CA","94551","Regular School","Closed","Other","Alameda County","","","","","","","Unknown","","","","062211010736","Suburban, Small","","Charter school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"John Muir Middle","San Leandro Unified","1444 Williams St.","San Leandro","CA","94577","Regular School","Open","Middle","Alameda County","6, 7, 8","995","43.65","22.79","No","648","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/298","063468005839","City, Small","","","","","","995","","","","","","","","676","650","664","","","","","","0","","132","888","192","676","8","32","62","6.63","44.62","9.65","33.97","0.40","1.61","3.12","","",""
"Kaiser Elementary","Oakland Unified","25 S. Hill Ct.","Oakland","CA","94618","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","274","11.00","24.91","No","68","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/221","062805004273","City, Large","","","","","","274","","96","86","88","98","96","84","","","","","","","","","0","","188","94","120","56","","4","86","34.31","17.15","21.90","10.22","","0.73","15.69","","",""
"Fairlands Elementary","Pleasanton Unified","4151 W. Las Positas Blvd.","Pleasanton","CA","94588","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","785","29.40","26.70","No","44","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/281","060002009286","City, Small","","","","","","785","","300","250","250","250","262","258","","","","","","","","","0","","374","86","4","1058","","","48","23.82","5.48","0.25","67.39","","","3.06","","",""
"Lincoln High (Continuation)","San Leandro Unified","2600 Teagarden St.","San Leandro","CA","94579","Alternative School","Open","High","Alameda County","9, 10, 11, 12","155","9.00","17.22","No","106","Title I Eligible School","Not School-wide Title I","Title I targeted assistance eligible school-No program","http://www.greatschools.net/modperl/browse_school/CA/294","063468005835","City, Small","","","","","","155","","","","","","","","","","","0","6","106","198","","0","","18","182","76","22","0","6","6","5.81","58.71","24.52","7.10","0.00","1.94","1.94","Not all female high school","Majority minority high school","Inner city high school"
"Aspire ERES Academy","Oakland Unified","1936 Ct.land Ave.","Oakland","CA","94601","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6, 7, 8","217","7.50","28.93","No","202","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/5085","062805012542","City, Large","","Charter school","","","","217","","44","44","44","44","52","52","56","54","44","","","","","","0","","","406","12","4","","","12","","93.55","2.76","0.92","","","2.76","","",""
"Piedmont Middle","Piedmont City Unified","740 Magnolia Ave.","Piedmont","CA","94611","Regular School","Open","Middle","Alameda County","6, 7, 8","665","40.60","16.38","No","12","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/276","063033004732","Suburban, Large","","","","","","665","","","","","","","","416","414","500","","","","","","0","","844","102","8","136","","","240","63.46","7.67","0.60","10.23","","","18.05","","",""
"Claremont Middle","Oakland Unified","5750 College Ave.","Oakland","CA","94618","Regular School","Open","Middle","Alameda County","6, 7, 8","474","22.00","21.55","No","211","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/195","062805004250","City, Large","","","","","","474","","","","","","","","312","318","318","","","","","","0","","296","184","310","64","","8","86","31.22","19.41","32.70","6.75","","0.84","9.07","","",""
