X,Y,Site,Address,City,State,Type,API,Org
566161.687864808,4185113.36119691,Lakeview Elementary,746 Grand Avenue,Oakland,CA,ES,"760",Public
570752.036107881,4183156.79718368,Laurel Elementary,3750 Brown Avenue,Oakland,CA,ES,"802",Public
567651.548971464,4181268.7068712,Lazear Elementary,824 29th Avenue,Oakland,CA,ES,"709",Public
569274.555369588,4181632.45127484,Learning Without Limits,2035 40th Avenue,Oakland,CA,ES,"718",Public
570793.531128268,4176942.38914149,Lighthouse Community Charter,444 Hegenberger Rd.,Oakland,CA,ES,"763",Public
564512.797158573,4183881.87122989,Lincoln Elementary,225 11th Street,Oakland,CA,ES,"933",Public
568314.072079251,4183037.41431747,Manzanita Community,2409 East 27th Street,Oakland,CA,ES,"672",Public
568314.072079251,4183037.41431747,Manzanita SEED,2409 East 27th Street,Oakland,CA,ES,"736",Public
572333.304257089,4180103.05331285,Markham Elementary,7220 Krause Avenue,Oakland,CA,ES,"713",Public
575634.125694427,4178050.10013622,Marshall Elementary,3400 Malcolm Avenue,Oakland,CA,ES,"720",Public
563120.763817332,4184511.70352692,"Martin Luther King, Jr. Elementary",960 10th Street,Oakland,CA,ES,"0",Public
570707.71636891,4181678.5594125,Maxwell Park Elementary,4730 Fleming Avenue,Oakland,CA,ES,"665",Public
573026.233507605,4179681.07369066,Millsmont Academy,8030 Atherton Street,Oakland,CA,ES,"783",Public
573269.293036735,4177557.7472644,Monarch Academy,1445 101st Ave,Oakland,CA,ES,"774",Public
569264.339042509,4187360.18293219,Montclair Elementary,1757 Mountain Boulevard,Oakland,CA,ES,"957",Public
572327.098097399,4178643.10200687,New Highland Academy,8521 A Street,Oakland,CA,ES,"687",Public
573482.437279924,4180137.16993327,Parker Elementary,7929 Ney Avenue,Oakland,CA,ES,"765",Public
565197.238169016,4189329.64946912,Peralta Elementary,460 63rd Street,Oakland,CA,ES,"892",Public
566113.971358899,4187109.7198604,Piedmont Avenue Elementary,4314 Piedmont Avenue,Oakland,CA,ES,"744",Public
561792.616199355,4184781.02169385,Preparatory Literary Academy of Cultural (PLACE),920 Campbell Street,Oakland,CA,ES,"652",Public
573850.698424891,4178025.95064805,Reach Academy,9860 Sunnyside Street,Oakland,CA,ES,"596",Public
571634.907453849,4183619.46785813,Redwood Heights Elementary,4401 39th Avenue,Oakland,CA,ES,"923",Public
573677.220493432,4179616.01959635,Reems (Ernestine C.) Academy of Technolo,8425 MacArthur Blvd,Oakland,CA,ES,"722",Public
572327.098097399,4178643.10200687,Rise Community,8521A Street,Oakland,CA,ES,"646",Public
563737.075467361,4188142.70022335,Santa Fe Elementary,915 54th Street,Oakland,CA,ES,"686",Public
569428.199547998,4184168.34942329,Sequoia Elementary,3730 Lincoln Avenue,Oakland,CA,ES,"813",Public
572493.391412534,4175949.30195819,Sobrante Park Elementary,470 El Paseo Drive,Oakland,CA,ES,"754",Public
567792.539834274,4181652.04962574,Think College Now,2825 International Boulevard,Oakland,CA,ES,"848",Public
